第一个点tnt,第二个点tnt,第三个点tnt,x动量,y动量,z动量,方向
2113,60294,0,-37600.336877222675,123.22239414877681,-37600.336877222675,010
2113,60293,0,-37599.73430932513,123.22351035063582,-37599.73430932513,010
2113,60293,0,-37599.73430932513,123.22351035063582,-37599.73430932513,010
2114,60293,0,-37600.33492837985,123.31367725505388,-37600.33492837985,010
2114,60292,0,-37599.7323604823,123.31479345691287,-37599.7323604823,010
2114,60292,0,-37599.7323604823,123.31479345691287,-37599.7323604823,010
2115,60292,0,-37600.33297953703,123.4049603613309,-37600.33297953703,010
2115,60291,0,-37599.73041163949,123.4060765631899,-37599.73041163949,010
2115,60291,0,-37599.73041163949,123.4060765631899,-37599.73041163949,010
2116,60291,0,-37600.331030694215,123.49624346760795,-37600.331030694215,010
2116,60290,0,-37599.728462796666,123.49735966946696,-37599.728462796666,010
2116,60290,0,-37599.728462796666,123.49735966946696,-37599.728462796666,010
2117,60290,0,-37600.329081851385,123.58752657388499,-37600.329081851385,010
2117,60289,0,-37599.72651395384,123.58864277574398,-37599.72651395384,010
2117,60289,0,-37599.72651395384,123.58864277574398,-37599.72651395384,010
2118,60289,0,-37600.32713300857,123.67880968016203,-37600.32713300857,010
2118,60288,0,-37599.72456511103,123.67992588202104,-37599.72456511103,010
2118,60288,0,-37599.72456511103,123.67992588202104,-37599.72456511103,010
2119,60288,0,-37600.325184165755,123.77009278643906,-37600.325184165755,010
2119,60287,0,-37599.722616268205,123.77120898829806,-37599.722616268205,010
2119,60287,0,-37599.722616268205,123.77120898829806,-37599.722616268205,010
2120,60287,0,-37600.323235322925,123.86137589271611,-37600.323235322925,010
2120,60286,0,-37599.72066742538,123.86249209457512,-37599.72066742538,010
2120,60286,0,-37599.72066742538,123.86249209457512,-37599.72066742538,010
2121,60286,0,-37600.32128648011,123.95265899899314,-37600.32128648011,010
2121,60285,0,-37599.71871858256,123.95377520085215,-37599.71871858256,010
2121,60285,0,-37599.71871858256,123.95377520085215,-37599.71871858256,010
2122,60285,0,-37600.31933763729,124.0439421052702,-37600.31933763729,010
2122,60284,0,-37599.716769739745,124.0450583071292,-37599.716769739745,010
2122,60284,0,-37599.716769739745,124.0450583071292,-37599.716769739745,010
2123,60284,0,-37600.317388794465,124.13522521154725,-37600.317388794465,010
2123,60283,0,-37599.714820896916,124.13634141340626,-37599.714820896916,010
