第一个点tnt,第二个点tnt,第三个点tnt,x动量,y动量,z动量,方向
2108,59965,0,37399.08894365669,123.1387900382976,37399.08894365669,100
2108,59965,0,37399.08894365669,123.1387900382976,37399.08894365669,100
2109,59965,0,37399.689562711406,123.22895694271566,37399.689562711406,100
2109,59964,0,37399.08699481386,123.23007314457465,37399.08699481386,100
2109,59964,0,37399.08699481386,123.23007314457465,37399.08699481386,100
2110,59964,0,37399.687613868584,123.3202400489927,37399.687613868584,100
2110,59963,0,37399.08504597104,123.32135625085171,37399.08504597104,100
2110,59963,0,37399.08504597104,123.32135625085171,37399.08504597104,100
2111,59963,0,37399.68566502576,123.41152315526973,37399.68566502576,100
2111,59962,0,37399.08309712821,123.41263935712874,37399.08309712821,100
2111,59962,0,37399.08309712821,123.41263935712874,37399.08309712821,100
2112,59962,0,37399.68371618294,123.5028062615468,37399.68371618294,100
2112,59961,0,37399.0811482854,123.50392246340579,37399.0811482854,100
2113,59961,0,37399.681767340124,123.59408936782381,37399.681767340124,100
2113,59961,0,37399.681767340124,123.59408936782381,37399.681767340124,100
2113,59960,0,37399.07919944258,123.59520556968282,37399.07919944258,100
2114,59960,0,37399.6798184973,123.68537247410087,37399.6798184973,100
2114,59960,0,37399.6798184973,123.68537247410087,37399.6798184973,100
2114,59959,0,37399.07725059975,123.68648867595986,37399.07725059975,100
2115,59959,0,37399.67786965448,123.77665558037789,37399.67786965448,100
2115,59959,0,37399.67786965448,123.77665558037789,37399.67786965448,100
2115,59958,0,37399.07530175694,123.7777717822369,37399.07530175694,100
2116,59958,0,37399.675920811664,123.86793868665495,37399.675920811664,100
2116,59958,0,37399.675920811664,123.86793868665495,37399.675920811664,100
2116,59957,0,37399.073352914114,123.86905488851396,37399.073352914114,100
2117,59957,0,37399.673971968834,123.95922179293198,37399.673971968834,100
2117,59957,0,37399.673971968834,123.95922179293198,37399.673971968834,100
2117,59956,0,37399.07140407129,123.96033799479098,37399.07140407129,100
2118,59956,0,37399.67202312602,124.05050489920903,37399.67202312602,100
2118,59956,0,37399.67202312602,124.05050489920903,37399.67202312602,100
2118,59955,0,37399.06945522847,124.05162110106804,37399.06945522847,100
2119,59955,0,37399.670074283196,124.14178800548606,37399.670074283196,100
2119,59955,0,37399.670074283196,124.14178800548606,37399.670074283196,100
2119,59954,0,37399.067506385654,124.14290420734505,37399.067506385654,100
2120,59954,0,37399.668125440374,124.23307111176311,37399.668125440374,100
2120,59954,0,37399.668125440374,124.23307111176311,37399.668125440374,100
2120,59953,0,37399.06555754283,124.23418731362212,37399.06555754283,100
2121,59953,0,37399.66617659756,124.32435421804014,37399.66617659756,100
2121,59953,0,37399.66617659756,124.32435421804014,37399.66617659756,100
2121,59952,0,37399.06360870001,124.32547041989915,37399.06360870001,100
2122,59952,0,37399.664227754736,124.4156373243172,37399.664227754736,100
2122,59952,0,37399.664227754736,124.4156373243172,37399.664227754736,100
2122,59951,0,37399.061659857194,124.4167535261762,37399.061659857194,100
2123,59951,0,37399.662278911914,124.50692043059425,37399.662278911914,100
2123,59951,0,37399.662278911914,124.50692043059425,37399.662278911914,100
2123,59950,0,37399.059711014364,124.50803663245325,37399.059711014364,100
2124,59950,0,37399.66033006909,124.59820353687128,37399.66033006909,100
2124,59950,0,37399.66033006909,124.59820353687128,37399.66033006909,100
2124,59949,0,37399.05776217155,124.59931973873027,37399.05776217155,100
2125,59949,0,37399.65838122627,124.68948664314833,37399.65838122627,100
2125,59949,0,37399.65838122627,124.68948664314833,37399.65838122627,100
2125,59948,0,37399.05581332873,124.69060284500733,37399.05581332873,100
2126,59948,0,37399.65643238345,124.78076974942536,37399.65643238345,100
2126,59948,0,37399.65643238345,124.78076974942536,37399.65643238345,100
2126,59947,0,37399.053864485904,124.78188595128437,37399.053864485904,100
2127,59947,0,37399.65448354063,124.87205285570242,37399.65448354063,100
2127,59946,0,37399.05191564309,124.87316905756141,37399.05191564309,100
2127,59946,0,37399.05191564309,124.87316905756141,37399.05191564309,100
2128,59946,0,37399.65253469781,124.96333596197944,37399.65253469781,100
2128,59945,0,37399.04996680026,124.96445216383844,37399.04996680026,100
2128,59945,0,37399.04996680026,124.96445216383844,37399.04996680026,100
2129,59945,0,37399.650585854986,125.0546190682565,37399.650585854986,100
2129,59944,0,37399.048017957444,125.0557352701155,37399.048017957444,100
2129,59944,0,37399.048017957444,125.0557352701155,37399.048017957444,100
2130,59944,0,37399.64863701217,125.14590217453353,37399.64863701217,100
2130,59943,0,37399.04606911462,125.14701837639252,37399.04606911462,100
2130,59943,0,37399.04606911462,125.14701837639252,37399.04606911462,100
2131,59943,0,37399.64668816934,125.23718528081058,37399.64668816934,100
2131,59942,0,37399.0441202718,125.23830148266958,37399.0441202718,100
2131,59942,0,37399.0441202718,125.23830148266958,37399.0441202718,100
2132,59942,0,37399.644739326526,125.32846838708761,37399.644739326526,100
2132,59941,0,37399.04217142898,125.3295845889466,37399.04217142898,100
2133,59941,0,37399.642790483704,125.41975149336466,37399.642790483704,100
2133,59941,0,37399.642790483704,125.41975149336466,37399.642790483704,100
2133,59940,0,37399.04022258616,125.42086769522366,37399.04022258616,100
2134,59940,0,37399.64084164088,125.51103459964172,37399.64084164088,100
2134,59940,0,37399.64084164088,125.51103459964172,37399.64084164088,100
2134,59939,0,37399.03827374333,125.51215080150072,37399.03827374333,100
2135,59939,0,37399.63889279806,125.60231770591875,37399.63889279806,100
2135,59939,0,37399.63889279806,125.60231770591875,37399.63889279806,100
2135,59938,0,37399.03632490052,125.60343390777774,37399.03632490052,100
2136,59938,0,37399.63694395524,125.6936008121958,37399.63694395524,100
2136,59938,0,37399.63694395524,125.6936008121958,37399.63694395524,100
2136,59937,0,37399.0343760577,125.6947170140548,37399.0343760577,100
2137,59937,0,37399.63499511242,125.78488391847283,37399.63499511242,100
2137,59937,0,37399.63499511242,125.78488391847283,37399.63499511242,100
2137,59936,0,37399.03242721487,125.78600012033182,37399.03242721487,100
2138,59936,0,37399.6330462696,125.87616702474988,37399.6330462696,100
2138,59936,0,37399.6330462696,125.87616702474988,37399.6330462696,100
2138,59935,0,37399.03047837206,125.87728322660888,37399.03047837206,100
2139,59935,0,37399.63109742678,125.96745013102691,37399.63109742678,100
2139,59935,0,37399.63109742678,125.96745013102691,37399.63109742678,100
2139,59934,0,37399.02852952923,125.96856633288591,37399.02852952923,100
2140,59934,0,37399.629148583954,126.05873323730397,37399.629148583954,100
2140,59934,0,37399.629148583954,126.05873323730397,37399.629148583954,100
2140,59933,0,37399.02658068641,126.05984943916296,37399.02658068641,100
2141,59933,0,37399.62719974114,126.15001634358099,37399.62719974114,100
2141,59933,0,37399.62719974114,126.15001634358099,37399.62719974114,100
2141,59932,0,37399.02463184359,126.15113254543999,37399.02463184359,100
2142,59932,0,37399.62525089831,126.24129944985805,37399.62525089831,100
