第一个点tnt,第二个点tnt,第三个点tnt,x动量,y动量,z动量,方向
2112,60127,165,-37598.53112237286,123.13445964807678,37399.68371618294,111
2113,60127,165,-37599.13174142758,123.22462655249481,37400.284335237666,111
2113,60127,165,-37599.13174142758,123.22462655249481,37400.284335237666,111
2113,60126,165,-37598.52917353004,123.22574275435382,37399.681767340124,111
2114,60126,165,-37599.12979258476,123.31590965877187,37400.28238639484,111
2114,60126,165,-37599.12979258476,123.31590965877187,37400.28238639484,111
2114,60125,165,-37598.52722468722,123.31702586063086,37399.6798184973,111
2115,60125,165,-37599.127843741946,123.40719276504889,37400.28043755203,111
2115,60125,165,-37599.127843741946,123.40719276504889,37400.28043755203,111
2115,60124,165,-37598.5252758444,123.4083089669079,37399.67786965448,111
2116,60124,165,-37599.12589489912,123.49847587132595,37400.278488709206,111
2116,60124,165,-37599.12589489912,123.49847587132595,37400.278488709206,111
2116,60123,165,-37598.52332700158,123.49959207318494,37399.675920811664,111
2117,60123,165,-37599.1239460563,123.58975897760297,37400.27653986638,111
2117,60123,165,-37599.1239460563,123.58975897760297,37400.27653986638,111
2117,60122,165,-37598.52137815875,123.59087517946197,37399.673971968834,111
2118,60122,165,-37599.12199721348,123.68104208388003,37400.27459102356,111
2118,60122,165,-37599.12199721348,123.68104208388003,37400.27459102356,111
2118,60121,165,-37598.51942931594,123.68215828573904,37399.67202312602,111
2119,60121,165,-37599.12004837066,123.77232519015706,37400.272642180746,111
2119,60121,165,-37599.12004837066,123.77232519015706,37400.272642180746,111
2119,60120,165,-37598.517480473114,123.77344139201605,37399.670074283196,111
2120,60120,165,-37599.118099527834,123.86360829643411,37400.270693337916,111
2120,60120,165,-37599.118099527834,123.86360829643411,37400.270693337916,111
2120,60119,165,-37598.51553163029,123.86472449829311,37399.668125440374,111
2121,60119,165,-37599.11615068502,123.95489140271114,37400.2687444951,111
2121,60119,165,-37599.11615068502,123.95489140271114,37400.2687444951,111
2121,60118,165,-37598.51358278747,123.95600760457013,37399.66617659755,111
2122,60118,165,-37599.114201842196,124.04617450898819,37400.26679565228,111
2122,60118,165,-37599.114201842196,124.04617450898819,37400.26679565228,111
2122,60117,165,-37598.511633944654,124.0472907108472,37399.664227754736,111
2123,60117,165,-37599.11225299937,124.13745761526525,37400.264846809456,111
2123,60117,165,-37599.11225299937,124.13745761526525,37400.264846809456,111
2123,60116,165,-37598.50968510183,124.13857381712425,37399.662278911914,111
2124,60116,165,-37599.11030415656,124.22874072154228,37400.26289796664,111
2124,60116,165,-37599.11030415656,124.22874072154228,37400.26289796664,111
2124,60115,165,-37598.50773625901,124.22985692340127,37399.66033006909,111
2125,60115,165,-37599.10835531373,124.32002382781933,37400.26094912381,111
2125,60114,165,-37598.50578741619,124.32114002967833,37399.65838122627,111
2125,60114,165,-37598.50578741619,124.32114002967833,37399.65838122627,111
2126,60114,165,-37599.10640647091,124.41130693409636,37400.259000280996,111
2126,60113,165,-37598.503838573364,124.41242313595535,37399.65643238345,111
2126,60113,165,-37598.503838573364,124.41242313595535,37399.65643238345,111
2127,60113,165,-37599.10445762809,124.5025900403734,37400.25705143817,111
2127,60112,165,-37598.50188973055,124.50370624223241,37399.65448354063,111
2127,60112,165,-37598.50188973055,124.50370624223241,37399.65448354063,111
2128,60112,165,-37599.10250878527,124.59387314665044,37400.25510259535,111
2128,60111,165,-37598.49994088772,124.59498934850944,37399.6525346978,111
2128,60111,165,-37598.49994088772,124.59498934850944,37399.6525346978,111
2129,60111,165,-37599.100559942446,124.6851562529275,37400.25315375253,111
2129,60110,165,-37598.497992044904,124.68627245478649,37399.650585854986,111
2129,60110,165,-37598.497992044904,124.68627245478649,37399.650585854986,111
2130,60110,165,-37599.09861109963,124.77643935920452,37400.25120490971,111
2130,60109,165,-37598.49604320209,124.77755556106352,37399.64863701217,111
2130,60109,165,-37598.49604320209,124.77755556106352,37399.64863701217,111
2131,60109,165,-37599.09666225681,124.86772246548158,37400.24925606689,111
2131,60108,165,-37598.49409435926,124.86883866734057,37399.64668816934,111
2131,60108,165,-37598.49409435926,124.86883866734057,37399.64668816934,111
2132,60108,165,-37599.094713413986,124.9590055717586,37400.24730722407,111
2132,60107,165,-37598.492145516444,124.9601217736176,37399.644739326526,111
2132,60107,165,-37598.492145516444,124.9601217736176,37399.644739326526,111
2133,60107,165,-37599.09276457117,125.05028867803566,37400.24535838125,111
2133,60106,165,-37598.49019667362,125.05140487989466,37399.642790483704,111
2134,60106,165,-37599.09081572834,125.14157178431272,37400.24340953842,111
2134,60106,165,-37599.09081572834,125.14157178431272,37400.24340953842,111
2134,60105,165,-37598.4882478308,125.14268798617171,37399.64084164088,111
